episode,train_steps,train_reward,train_loss,eps,train_avg_delay_ms,train_loss_rate,train_throughput,eval_reward,eval_avg_delay_ms,eval_loss_rate,eval_throughput
376,530,284.3,0.146987,0.05,14.0925,0.0093,1.46,,,,
377,528,295.44,0.123176,0.05,12.8833,0.0,1.5,,,,
378,519,286.52,0.131074,0.05,13.2935,0.0062,1.465,,,,
379,519,289.58,0.113474,0.05,13.7162,0.0062,1.48,,,,
380,530,289.32,0.128559,0.05,13.0339,0.0031,1.475,,,,
381,530,292.34,0.107155,0.05,12.963,0.0,1.485,,,,
382,531,291.3,0.117557,0.05,13.9527,0.0,1.48,,,,
383,522,289.52,0.134812,0.05,13.9865,0.0062,1.48,,,,
384,510,290.74,0.128388,0.05,12.5845,0.0031,1.48,,,,
385,532,289.32,0.110695,0.05,13.0574,0.0062,1.48,,,,
386,518,289.56,0.130454,0.05,12.322,0.0031,1.475,,,,
387,531,292.32,0.124952,0.05,13.4007,0.0,1.485,,,,
388,520,288.54,0.125211,0.05,13.0508,0.0062,1.475,,,,
